Name,HP,Blue,Yellow,Orange1,Orange2,Red1,Red2,Red3,Role,Description,Collection
Mason,3,Shove,+1 Action,+1 Damage: Melee,Bloodlust: Melee,+1 Free Melee Action,+1 Free Move Action,Hit & Run,"Brute mobile","Combattant de mêlée brutal et mobile. Shove repousse les ennemis. Bloodlust: Melee et bonus de dégâts en font un destructeur au corps-à-corps. En zone rouge, actions gratuites de mêlée et mouvement avec Hit & Run permettent d'enchaîner les éliminations. Tank offensif qui contrôle le champ de bataille.",
Amy,3,+1 Free Move Action,+1 Action,+1 Free Melee Action,+1 Free Ranged Action,+1 Die: Combat,+1 to Dice Roll: Combat,Medic,"Polyvalente tactique","Survivante ultra-polyvalente. Mobilité dès le début avec action de mouvement gratuite. Actions gratuites de mêlée et distance en orange. En zone rouge, bonus massifs aux dés de combat et Medic pour soigner. Excellente pour l'adaptabilité tactique et le soutien flexible selon les besoins.",
Odin,2,+1 Die: Melee,+1 Action,+1 Free Melee Action,+1 Free Move Action,+1 Die: Melee,+1 Die: Ranged,+1 Free Combat Action,"Combattant agile","Jeune guerrier dynamique mais fragile (2 HP). Bonus aux dés de mêlée dès le début. Mobilité et actions de mêlée gratuites en orange. En zone rouge, accumule bonus aux dés (mêlée et distance) et action de combat gratuite. Bon potentiel offensif mais nécessite protection en raison de sa faible santé.",Kids
Lou,2,Charge,+1 Action,+1 Die: Combat,+1 Free Melee Action,+1 Free Move Action,+1 Free Ranged Action,Medic,"Support mobile","Jeune samouraï polyvalente mais fragile (2 HP). Charge permet les assauts rapides. Bonus aux dés de combat en orange avec action de mêlée gratuite. En zone rouge, gagne mobilité, tir à distance et Medic pour soigner. Excellente polyvalence tactique mais nécessite prudence vu ses faibles PV.",Kids
Johnny Law,3,Improvised Weapon: Melee,+1 Action,Escalation: Melee,Hit & Run,+1 Free Melee Action,Jump,Roll 6: +1 Die: Melee,"Combattant improvisé","Policier débrouillard spécialisé au corps-à-corps. Improvised Weapon: Melee lui permet d'utiliser n'importe quoi comme arme. Escalation: Melee augmente sa force avec le temps. Hit & Run et Jump assurent mobilité et survie. En zone rouge, actions de mêlée gratuites et bonus aux dés le rendent redoutable.",
Andrea,3,Full Auto,+1 Action,+1 to Dice Roll: Ranged,Ranged: Damage 2,Dual Expert,Point-Blank,Roll 6: +1 Die Ranged,"Tireuse d'élite","Experte des armes automatiques. Full Auto permet de tirer en rafales. Bonus aux jets de dés à distance et dégâts de 2 en orange. Dual Expert pour manier deux armes. Point-Blank efficace à courte portée. En zone rouge, bonus aux dés maximise ses chances de réussite.",
Carol,3,Blitz,+1 Action,+1 Free Move Action,B.I.A.: Reaper: Ranged,+1 Free Combat Action,Jump,Zombie Link,"Support tactique","Combattante rapide et polyvalente. Blitz élimine plusieurs cibles. Mobilité accrue avec action de mouvement gratuite. B.I.A.: Reaper: Ranged booste les alliés tireurs. Jump et Zombie Link en zone rouge offrent mobilité extrême et contrôle du champ de bataille.",
Victor,3,Taunt,+1 Action,+1 to Dice Roll: Melee,Melee: Damage 2,+1 Free Combat Action,+1 to Dice Roll: Ranged,Escalation: Combat,"Tank versatile","Combattant défensif et polyvalent. Taunt attire les zombies pour protéger l'équipe. Bonus aux jets de mêlée et dégâts de 2 en orange. En zone rouge, devient polyvalent avec bonus au tir et Escalation: Combat qui augmente sa puissance au fil du temps.",
Mona,3,Born Leader,+1 Action,B.I.A.: +1 Free Move Action,Lifesaver,+1 to Dice Roll: Combat,B.I.A.: Slippery,Shove,"Leader protectrice","Leader charismatique axée sur le soutien d'équipe. Born Leader booste tous les alliés. B.I.A. donne mobilité puis évasion aux coéquipiers. Lifesaver protège les alliés. Bonus aux jets de combat et Shove pour repousser les menaces. Excellente pour coordonner et protéger l'équipe.",
Luke,3,Escalation: Ranged,+1 Action,+1 Free Ranged Action,Blitz,+1 Free Ranged Action,+1 to Dice Roll: Ranged,Ranged: Damage 2,"Tireur puissant","Spécialiste du tir à distance qui monte en puissance. Escalation: Ranged augmente sa force avec le temps. Actions de tir gratuites et Blitz en orange. En zone rouge, double action de tir gratuite, bonus aux dés et dégâts de 2 le transforment en machine de guerre à distance.",
Logan,3,Improvised Weapon: Melee,+1 Action,+1 Die: Melee,+1 Free Melee Action,+1 Die: Melee,Charge,Reaper: Melee,"Berserker mêlée","Guerrier au corps-à-corps brutal. Improvised Weapon: Melee pour utiliser n'importe quoi comme arme. Accumule bonus aux dés de mêlée et action gratuite. En zone rouge, double bonus aux dés, Charge pour les assauts et Reaper: Melee pour éliminer plusieurs ennemis. Destructeur pur.",
Liu,3,Webbing,+1 Action,+1 Free Combat Action,Tough,+1 to Dice Roll: Ranged,B.I.A.: +1 Free Combat Action,Born Leader,"Leader résilient","Combattant résistant avec focus sur le leadership. Webbing ralentit les ennemis. Action de combat gratuite en orange avec Tough pour encaisser. En zone rouge, bonus au tir, B.I.A. pour actions gratuites d'équipe et Born Leader transforment ce survivant en pilier d'équipe.",
John Doe,3,Slippery,+1 Action,+1 Free Ranged Action,Sprint,+1 Free Combat Action,+1 to Dice Roll: Ranged,Hit & Run,"Combattant mobile","Survivant mystérieux et agile. Slippery rend difficile à attraper. Sprint et actions de tir gratuites en orange assurent mobilité et puissance de feu. En zone rouge, bonus aux jets à distance et Hit & Run permettent de frapper et fuir. Parfait pour harceler l'ennemi.",
Phil,3,Starts with a Shotgun / Lifesaver,+1 Action,+1 to Dice Roll: Ranged,Born Leader,+1 Die: Ranged,+1 Free Combat Action,Sniper,"Leader tireur","Expert au fusil à pompe et leader naturel. Commence avec un shotgun et Lifesaver pour protéger. Bonus aux jets de tir et Born Leader en orange. En zone rouge, bonus aux dés, Sniper pour portée accrue et action de combat gratuite. Leader offensif spécialisé dans le support par le feu.",
